LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/01/2013 00:47:00,,1506.00,765.00,248.00,110.00,70.00,84.00,37.00,32.00,APPROVED
NM: CARLSBAD,01/01/2013 01:47:00,,1580.00,789.00,250.00,109.00,69.00,84.00,37.00,31.00,APPROVED
NM: CARLSBAD,01/01/2013 02:48:00,,1600.00,802.00,249.00,111.00,70.00,82.00,36.00,32.00,APPROVED
NM: CARLSBAD,01/01/2013 03:48:00,,1619.00,817.00,253.00,107.00,71.00,82.00,36.00,33.00,APPROVED
NM: CARLSBAD,01/01/2013 04:48:00,,1635.00,813.00,251.00,112.00,69.00,81.00,37.00,32.00,APPROVED
NM: CARLSBAD,01/01/2013 05:48:00,,1651.00,818.00,254.00,112.00,70.00,85.00,37.00,34.00,APPROVED
NM: CARLSBAD,01/01/2013 06:48:00,,1676.00,834.00,256.00,112.00,71.00,84.00,38.00,33.00,APPROVED
NM: CARLSBAD,01/01/2013 07:49:00,,1720.00,847.00,258.00,112.00,69.00,85.00,38.00,35.00,APPROVED
NM: CARLSBAD,01/01/2013 08:49:00,,1738.00,853.00,259.00,113.00,72.00,86.00,38.00,34.00,APPROVED
NM: CARLSBAD,01/01/2013 09:49:00,,1738.00,856.00,260.00,113.00,71.00,86.00,37.00,34.00,APPROVED
NM: CARLSBAD,01/01/2013 10:49:00,,1772.00,865.00,262.00,113.00,71.00,83.00,38.00,34.00,APPROVED
NM: CARLSBAD,01/01/2013 11:49:00,,1789.00,873.00,263.00,114.00,74.00,88.00,38.00,35.00,APPROVED
NM: CARLSBAD,01/01/2013 12:50:00,,1781.00,880.00,256.00,115.00,73.00,85.00,38.00,36.00,APPROVED
NM: CARLSBAD,01/01/2013 13:50:00,,1794.00,888.00,266.00,117.00,74.00,86.00,39.00,35.00,APPROVED
NM: CARLSBAD,01/01/2013 14:50:00,,1816.00,900.00,266.00,117.00,76.00,87.00,39.00,34.00,APPROVED
NM: CARLSBAD,01/01/2013 15:50:00,,1841.00,914.00,278.00,121.00,78.00,88.00,39.00,34.00,APPROVED
NM: CARLSBAD,01/01/2013 16:51:00,,1853.00,940.00,284.00,127.00,80.00,92.00,41.00,36.00,APPROVED
NM: CARLSBAD,01/01/2013 17:51:00,,1753.00,900.00,283.00,120.00,78.00,91.00,40.00,34.00,APPROVED
NM: CARLSBAD,01/01/2013 18:51:00,,1622.00,840.00,270.00,118.00,73.00,89.00,40.00,32.00,APPROVED
NM: CARLSBAD,01/01/2013 19:51:00,,1517.00,791.00,261.00,113.00,75.00,87.00,38.00,32.00,APPROVED
NM: CARLSBAD,01/01/2013 20:51:00,,1501.00,780.00,263.00,114.00,75.00,88.00,38.00,31.00,APPROVED
NM: CARLSBAD,01/01/2013 21:52:00,,1500.00,778.00,253.00,112.00,72.00,89.00,40.00,32.00,APPROVED
NM: CARLSBAD,01/01/2013 22:52:00,,1490.00,783.00,256.00,115.00,73.00,87.00,38.00,33.00,APPROVED
NM: CARLSBAD,01/01/2013 23:52:00,,1556.00,797.00,259.00,113.00,72.00,90.00,38.00,31.00,APPROVED
NM: CARLSBAD,01/02/2013 00:52:00,,1618.00,816.00,263.00,115.00,75.00,86.00,37.00,33.00,APPROVED
NM: CARLSBAD,01/02/2013 01:52:00,,1690.00,846.00,261.00,114.00,73.00,85.00,39.00,33.00,APPROVED
NM: CARLSBAD,01/02/2013 02:53:00,,1761.00,866.00,266.00,116.00,74.00,87.00,37.00,33.00,APPROVED
NM: CARLSBAD,01/02/2013 03:53:00,,1828.00,904.00,271.00,119.00,78.00,89.00,40.00,34.00,APPROVED
NM: CARLSBAD,01/02/2013 04:53:00,,1887.00,932.00,281.00,121.00,77.00,90.00,40.00,34.00,APPROVED
NM: CARLSBAD,01/02/2013 05:53:00,,1910.00,945.00,284.00,124.00,81.00,92.00,41.00,35.00,APPROVED
