LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/02/2019 15:23:00,,1794.00,1085.00,323.00,155.00,88.00,109.00,71.00,40.00,APPROVED
NM: CARLSBAD,01/02/2019 16:23:00,,1837.00,1163.00,344.00,172.00,95.00,123.00,75.00,41.00,APPROVED
NM: CARLSBAD,01/02/2019 17:23:00,,1855.00,1185.00,358.00,179.00,94.00,123.00,78.00,42.00,APPROVED
NM: CARLSBAD,01/02/2019 18:23:00,,1871.00,1214.00,356.00,187.00,97.00,130.00,81.00,44.00,APPROVED
NM: CARLSBAD,01/02/2019 19:24:00,,1875.00,1215.00,359.00,185.00,98.00,126.00,80.00,42.00,APPROVED
NM: CARLSBAD,01/02/2019 20:24:00,,1875.00,1224.00,357.00,187.00,97.00,127.00,80.00,43.00,APPROVED
NM: CARLSBAD,01/02/2019 21:24:00,,1885.00,1224.00,358.00,187.00,99.00,129.00,83.00,46.00,APPROVED
NM: CARLSBAD,01/02/2019 22:24:00,,1892.00,1242.00,359.00,190.00,102.00,130.00,83.00,45.00,APPROVED
NM: CARLSBAD,01/02/2019 23:24:00,,1904.00,1246.00,366.00,191.00,102.00,133.00,83.00,45.00,APPROVED
NM: CARLSBAD,01/03/2019 00:25:00,,1916.00,1251.00,369.00,196.00,102.00,132.00,82.00,46.00,APPROVED
NM: CARLSBAD,01/03/2019 01:25:00,,1907.00,1251.00,371.00,196.00,99.00,131.00,83.00,46.00,APPROVED
NM: CARLSBAD,01/03/2019 02:25:00,,1917.00,1264.00,372.00,195.00,105.00,131.00,84.00,46.00,APPROVED
NM: CARLSBAD,01/03/2019 03:25:00,,1939.00,1282.00,383.00,196.00,104.00,136.00,86.00,46.00,APPROVED
NM: CARLSBAD,01/03/2019 04:25:00,,1958.00,1311.00,392.00,196.00,104.00,141.00,84.00,46.00,APPROVED
NM: CARLSBAD,01/03/2019 05:26:00,,1947.00,1307.00,394.00,198.00,104.00,139.00,85.00,45.00,APPROVED
NM: CARLSBAD,01/03/2019 06:26:00,,1951.00,1308.00,392.00,198.00,104.00,140.00,86.00,47.00,APPROVED
NM: CARLSBAD,01/03/2019 07:26:00,,2021.00,1392.00,414.00,210.00,109.00,148.00,89.00,48.00,APPROVED
NM: CARLSBAD,01/03/2019 08:26:00,,2114.00,1512.00,452.00,233.00,119.00,161.00,96.00,52.00,APPROVED
NM: CARLSBAD,01/03/2019 09:26:00,,2125.00,1508.00,459.00,226.00,117.00,163.00,97.00,49.00,APPROVED
NM: CARLSBAD,01/03/2019 10:27:00,,2164.00,1560.00,468.00,229.00,122.00,165.00,98.00,51.00,APPROVED
NM: CARLSBAD,01/03/2019 11:27:00,,2162.00,1560.00,476.00,229.00,121.00,172.00,102.00,53.00,APPROVED
NM: CARLSBAD,01/03/2019 12:27:00,,2251.00,1685.00,514.00,244.00,129.00,187.00,105.00,55.00,APPROVED
NM: CARLSBAD,01/03/2019 13:27:00,,2273.00,1725.00,541.00,255.00,133.00,197.00,108.00,56.00,APPROVED
NM: CARLSBAD,01/03/2019 14:27:00,,2324.00,1771.00,545.00,259.00,136.00,198.00,108.00,58.00,APPROVED
NM: CARLSBAD,01/03/2019 16:28:00,,2411.00,1851.00,555.00,287.00,144.00,200.00,120.00,61.00,APPROVED
NM: CARLSBAD,01/03/2019 22:29:00,,1911.00,1349.00,363.00,218.00,104.00,129.00,88.00,52.00,APPROVED
NM: CARLSBAD,01/03/2019 23:29:00,,1928.00,1334.00,363.00,214.00,106.00,128.00,87.00,53.00,APPROVED
