LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/01/2021 00:33:00,57.00,1655.00,981.00,297.00,147.00,84.00,107.00,91.00,45.00,APPROVED
NM: CARLSBAD,01/01/2021 01:34:00,56.00,1656.00,971.00,290.00,143.00,85.00,105.00,93.00,44.00,APPROVED
NM: CARLSBAD,01/01/2021 02:34:00,57.00,1652.00,966.00,293.00,142.00,86.00,107.00,92.00,43.00,APPROVED
NM: CARLSBAD,01/01/2021 03:34:00,55.00,1672.00,966.00,295.00,143.00,84.00,108.00,92.00,44.00,APPROVED
NM: CARLSBAD,01/01/2021 04:34:00,57.00,1726.00,1037.00,305.00,152.00,89.00,117.00,92.00,43.00,APPROVED
NM: CARLSBAD,01/01/2021 05:34:00,62.00,1818.00,1120.00,338.00,171.00,96.00,129.00,98.00,46.00,APPROVED
NM: CARLSBAD,01/01/2021 06:35:00,60.00,1805.00,1108.00,335.00,167.00,96.00,130.00,99.00,45.00,APPROVED
NM: CARLSBAD,01/01/2021 07:35:00,60.00,1785.00,1078.00,324.00,161.00,95.00,123.00,94.00,46.00,APPROVED
NM: CARLSBAD,01/01/2021 08:35:00,59.00,1772.00,1069.00,323.00,159.00,92.00,124.00,96.00,45.00,APPROVED
NM: CARLSBAD,01/01/2021 09:35:00,61.00,1850.00,1122.00,327.00,164.00,95.00,129.00,96.00,46.00,APPROVED
NM: CARLSBAD,01/01/2021 10:36:00,64.00,1875.00,1135.00,338.00,166.00,96.00,133.00,96.00,44.00,APPROVED
NM: CARLSBAD,01/01/2021 11:36:00,63.00,1900.00,1163.00,345.00,171.00,97.00,137.00,98.00,45.00,APPROVED
