LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/04/2016 18:30:00,,1929.00,1152.00,323.00,153.00,84.00,101.00,60.00,28.00,APPROVED
NM: CARLSBAD,01/04/2016 19:30:00,,1987.00,1225.00,339.00,179.00,91.00,113.00,69.00,31.00,APPROVED
NM: CARLSBAD,01/04/2016 20:30:00,,1981.00,1257.00,341.00,184.00,92.00,114.00,68.00,31.00,APPROVED
NM: CARLSBAD,01/04/2016 21:30:00,,1946.00,1222.00,332.00,182.00,93.00,111.00,65.00,33.00,APPROVED
NM: CARLSBAD,01/04/2016 22:31:00,,1991.00,1244.00,334.00,184.00,91.00,112.00,68.00,33.00,APPROVED
NM: CARLSBAD,01/04/2016 23:31:00,,2018.00,1261.00,334.00,189.00,94.00,112.00,68.00,33.00,APPROVED
NM: CARLSBAD,01/05/2016 00:31:00,,1984.00,1242.00,337.00,186.00,93.00,113.00,68.00,32.00,APPROVED
NM: CARLSBAD,01/05/2016 01:31:00,,1999.00,1242.00,340.00,179.00,92.00,116.00,69.00,30.00,APPROVED
NM: CARLSBAD,01/05/2016 02:31:00,,1961.00,1204.00,342.00,173.00,90.00,110.00,66.00,29.00,APPROVED
NM: CARLSBAD,01/05/2016 03:32:00,,1942.00,1195.00,336.00,169.00,90.00,108.00,65.00,29.00,APPROVED
NM: CARLSBAD,01/05/2016 04:32:00,,1918.00,1187.00,331.00,167.00,87.00,109.00,65.00,29.00,APPROVED
NM: CARLSBAD,01/05/2016 05:32:00,,1890.00,1166.00,327.00,169.00,87.00,109.00,64.00,29.00,APPROVED
NM: CARLSBAD,01/05/2016 06:32:00,,1883.00,1154.00,326.00,167.00,91.00,107.00,64.00,28.00,APPROVED
NM: CARLSBAD,01/05/2016 07:32:00,,1900.00,1173.00,332.00,169.00,88.00,110.00,63.00,29.00,APPROVED
NM: CARLSBAD,01/05/2016 08:33:00,,1882.00,1170.00,329.00,168.00,88.00,109.00,63.00,30.00,APPROVED
NM: CARLSBAD,01/05/2016 09:33:00,,1922.00,1191.00,337.00,174.00,91.00,111.00,65.00,30.00,APPROVED
NM: CARLSBAD,01/05/2016 10:33:00,,1900.00,1182.00,329.00,170.00,91.00,108.00,65.00,29.00,APPROVED
NM: CARLSBAD,01/05/2016 11:33:00,,1943.00,1201.00,339.00,174.00,91.00,111.00,66.00,31.00,APPROVED
NM: CARLSBAD,01/05/2016 12:33:00,,1953.00,1226.00,345.00,177.00,92.00,114.00,68.00,30.00,APPROVED
NM: CARLSBAD,01/05/2016 13:34:00,,1919.00,1218.00,340.00,178.00,88.00,113.00,67.00,30.00,APPROVED
NM: CARLSBAD,01/05/2016 14:34:00,,2016.00,1268.00,352.00,184.00,95.00,119.00,67.00,32.00,APPROVED
NM: CARLSBAD,01/05/2016 15:34:00,,1986.00,1260.00,354.00,187.00,95.00,118.00,70.00,31.00,APPROVED
NM: CARLSBAD,01/05/2016 16:34:00,,1976.00,1245.00,346.00,185.00,93.00,116.00,69.00,32.00,APPROVED
NM: CARLSBAD,01/05/2016 17:34:00,,1928.00,1199.00,333.00,178.00,90.00,111.00,65.00,31.00,APPROVED
NM: CARLSBAD,01/05/2016 18:35:00,,1916.00,1197.00,328.00,178.00,89.00,105.00,66.00,31.00,APPROVED
NM: CARLSBAD,01/05/2016 19:35:00,,1943.00,1226.00,334.00,180.00,90.00,112.00,68.00,33.00,APPROVED
NM: CARLSBAD,01/05/2016 20:35:00,,1930.00,1214.00,327.00,183.00,90.00,112.00,67.00,32.00,APPROVED
NM: CARLSBAD,01/05/2016 21:35:00,,1900.00,1196.00,322.00,183.00,90.00,106.00,66.00,33.00,APPROVED
NM: CARLSBAD,01/05/2016 22:35:00,,1899.00,1199.00,323.00,182.00,90.00,107.00,64.00,33.00,APPROVED
NM: CARLSBAD,01/05/2016 23:36:00,,1907.00,1199.00,321.00,181.00,90.00,107.00,65.00,33.00,APPROVED
NM: CARLSBAD,01/06/2016 00:36:00,,1948.00,1234.00,330.00,187.00,93.00,113.00,67.00,34.00,APPROVED
NM: CARLSBAD,01/06/2016 01:36:00,,1938.00,1228.00,335.00,186.00,92.00,115.00,69.00,32.00,APPROVED
NM: CARLSBAD,01/06/2016 02:36:00,,1940.00,1217.00,341.00,182.00,92.00,113.00,67.00,31.00,APPROVED
NM: CARLSBAD,01/06/2016 03:36:00,,1959.00,1235.00,342.00,187.00,92.00,115.00,69.00,32.00,APPROVED
NM: CARLSBAD,01/07/2016 16:29:00,,1715.00,1031.00,282.00,147.00,80.00,92.00,55.00,29.00,APPROVED
NM: CARLSBAD,01/07/2016 17:29:00,,1705.00,1041.00,286.00,148.00,77.00,93.00,59.00,29.00,APPROVED
NM: CARLSBAD,01/07/2016 18:29:00,,1712.00,1047.00,290.00,150.00,79.00,94.00,58.00,31.00,APPROVED
NM: CARLSBAD,01/07/2016 19:30:00,,1720.00,1051.00,286.00,152.00,77.00,93.00,59.00,29.00,APPROVED
NM: CARLSBAD,01/07/2016 20:30:00,,1716.00,1058.00,288.00,152.00,79.00,92.00,57.00,29.00,APPROVED
NM: CARLSBAD,01/07/2016 21:30:00,,1727.00,1061.00,288.00,152.00,78.00,96.00,61.00,30.00,APPROVED
NM: CARLSBAD,01/07/2016 22:30:00,,1732.00,1060.00,291.00,151.00,79.00,96.00,61.00,30.00,APPROVED
