LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/01/2015 00:33:00,,1804.00,1054.00,325.00,135.00,84.00,115.00,44.00,30.00,APPROVED
NM: CARLSBAD,01/01/2015 01:34:00,,1792.00,1057.00,334.00,136.00,86.00,113.00,44.00,30.00,APPROVED
NM: CARLSBAD,01/05/2015 21:58:00,,1889.00,1136.00,322.00,153.00,86.00,105.00,62.00,29.00,APPROVED
NM: CARLSBAD,01/05/2015 22:59:00,,1932.00,1222.00,339.00,181.00,93.00,117.00,69.00,31.00,APPROVED
NM: CARLSBAD,01/05/2015 23:59:00,,1937.00,1238.00,338.00,189.00,97.00,117.00,69.00,33.00,APPROVED
NM: CARLSBAD,01/06/2015 00:59:00,,1940.00,1240.00,342.00,185.00,95.00,121.00,71.00,33.00,APPROVED
NM: CARLSBAD,01/06/2015 01:59:00,,1932.00,1234.00,359.00,174.00,97.00,127.00,67.00,30.00,APPROVED
NM: CARLSBAD,01/06/2015 02:59:00,,1977.00,1255.00,373.00,176.00,98.00,130.00,68.00,30.00,APPROVED
NM: CARLSBAD,01/06/2015 04:00:00,,2002.00,1270.00,377.00,172.00,99.00,132.00,68.00,31.00,APPROVED
NM: CARLSBAD,01/06/2015 05:00:00,,1982.00,1267.00,385.00,170.00,97.00,134.00,64.00,31.00,APPROVED
NM: CARLSBAD,01/06/2015 06:00:00,,1958.00,1254.00,380.00,166.00,98.00,136.00,64.00,31.00,APPROVED
NM: CARLSBAD,01/06/2015 07:00:00,,1982.00,1291.00,398.00,172.00,99.00,139.00,62.00,30.00,APPROVED
NM: CARLSBAD,01/06/2015 08:00:00,,2040.00,1340.00,417.00,176.00,107.00,153.00,66.00,33.00,APPROVED
NM: CARLSBAD,01/06/2015 09:01:00,,2024.00,1327.00,412.00,173.00,101.00,149.00,65.00,32.00,APPROVED
NM: CARLSBAD,01/06/2015 10:01:00,,2019.00,1329.00,421.00,174.00,102.00,149.00,64.00,32.00,APPROVED
NM: CARLSBAD,01/06/2015 11:01:00,,2030.00,1365.00,429.00,179.00,104.00,153.00,64.00,35.00,APPROVED
NM: CARLSBAD,01/06/2015 12:01:00,,2086.00,1405.00,442.00,182.00,109.00,160.00,67.00,35.00,APPROVED
NM: CARLSBAD,01/06/2015 13:01:00,,2139.00,1447.00,453.00,189.00,112.00,162.00,72.00,35.00,APPROVED
NM: CARLSBAD,01/06/2015 14:02:00,,2119.00,1452.00,454.00,190.00,110.00,164.00,74.00,36.00,APPROVED
NM: CARLSBAD,01/06/2015 15:02:00,,2128.00,1463.00,458.00,192.00,113.00,169.00,72.00,34.00,APPROVED
NM: CARLSBAD,01/06/2015 16:02:00,,2093.00,1422.00,441.00,192.00,108.00,157.00,72.00,34.00,APPROVED
