LOCATION_NAME,SAMPLE COLLECTION TIME,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM),STATUS
NM: CARLSBAD,01/01/2014 00:07:00,,1745.00,1086.00,310.00,161.00,86.00,109.00,68.00,33.00,APPROVED
NM: CARLSBAD,01/01/2014 01:08:00,,1773.00,1089.00,302.00,161.00,87.00,104.00,66.00,32.00,APPROVED
NM: CARLSBAD,01/01/2014 02:08:00,,1762.00,1076.00,301.00,156.00,84.00,101.00,63.00,33.00,APPROVED
NM: CARLSBAD,01/01/2014 03:08:00,,1780.00,1071.00,298.00,154.00,85.00,99.00,64.00,32.00,APPROVED
NM: CARLSBAD,01/01/2014 04:09:00,,1788.00,1071.00,294.00,154.00,82.00,100.00,64.00,32.00,APPROVED
NM: CARLSBAD,01/01/2014 05:09:00,,1832.00,1104.00,298.00,157.00,85.00,104.00,66.00,32.00,APPROVED
NM: CARLSBAD,01/01/2014 06:09:00,,1873.00,1132.00,310.00,162.00,86.00,105.00,65.00,32.00,APPROVED
NM: CARLSBAD,01/01/2014 07:09:00,,1883.00,1150.00,312.00,162.00,89.00,107.00,65.00,34.00,APPROVED
NM: CARLSBAD,01/01/2014 08:10:00,,1919.00,1164.00,319.00,168.00,88.00,111.00,68.00,32.00,APPROVED
NM: CARLSBAD,01/01/2014 09:10:00,,1948.00,1200.00,323.00,168.00,88.00,111.00,67.00,33.00,APPROVED
NM: CARLSBAD,01/01/2014 10:10:00,,1986.00,1247.00,340.00,175.00,92.00,116.00,71.00,34.00,APPROVED
NM: CARLSBAD,01/01/2014 11:10:00,,2015.00,1269.00,343.00,182.00,93.00,122.00,71.00,35.00,APPROVED
NM: CARLSBAD,01/01/2014 12:11:00,,2005.00,1253.00,345.00,178.00,95.00,119.00,71.00,35.00,APPROVED
NM: CARLSBAD,01/01/2014 13:11:00,,2065.00,1322.00,357.00,195.00,98.00,127.00,74.00,35.00,APPROVED
NM: CARLSBAD,01/01/2014 14:11:00,,2060.00,1339.00,362.00,195.00,100.00,129.00,76.00,37.00,APPROVED
NM: CARLSBAD,01/01/2014 15:12:00,,2006.00,1294.00,354.00,188.00,96.00,124.00,75.00,36.00,APPROVED
NM: CARLSBAD,01/01/2014 16:12:00,,1988.00,1263.00,348.00,183.00,93.00,119.00,73.00,36.00,APPROVED
NM: CARLSBAD,01/01/2014 17:12:00,,2021.00,1304.00,356.00,194.00,99.00,126.00,79.00,36.00,APPROVED
NM: CARLSBAD,01/01/2014 18:12:00,,1910.00,1237.00,348.00,191.00,97.00,123.00,76.00,37.00,APPROVED
NM: CARLSBAD,01/01/2014 19:13:00,,1829.00,1207.00,346.00,184.00,95.00,123.00,74.00,37.00,APPROVED
NM: CARLSBAD,01/01/2014 20:13:00,,1719.00,1128.00,336.00,176.00,94.00,119.00,75.00,37.00,APPROVED
